emoji_id,zero_shot,emoji_char,emoji_name,emoji_char_ascii,emoji_char_ascii_beg,emjpd_emoji_name_og,emjpd_aliases,emjpd_shortcodes,emjpd_full_description,emjpd_description_main,emjpd_description_side,hemj_emoji_description,emjpd_usage_info,emjpd_description_ref_emj,img_pc1,img_pc2,word_pc1,word_pc2,visual_cluster,semantic_cluster,token_pc1,token_pc2,token_cluster
10,False,🛬,airplane_arrival,\U0001f6ec,\U0001f6ec,airplane arrival,"['aeroplane landing', 'plane landing']","[':flight_arrival:\n(Github)\n', ':airplane_arrival:\n(Emojipedia)\n', ':airplane_arriving:\n(Slack)\n']","a plane approaching a runway for landing. generally displayed left-right, with the front of the plane facing toward the ground in a position that may result in a crash if attempted in the real world.

airplane arrival was approved as part of unicode 7.0 in 2014
under the name “airplane arriving”
and added to emoji 1.0 in 2015.
","a plane approaching a runway for landing. generally displayed left-right, with the front of the plane facing toward the ground in a position that may result in a crash if attempted in the real world.","airplane arrival was approved as part of unicode 7.0 in 2014
under the name “airplane arriving”
and added to emoji 1.0 in 2015.",the airplane arrival emoji was added to the travel & places category in 2014 as part of unicode 7.0 standard. this is a mature emoji and it should work on most devices.,,[],0.5330778,-0.036852587,0.3523124,-0.016218625,3,6,47.569454193115234,-7.294041156768799,5
11,False,🛫,airplane_departure,\U0001f6eb,\U0001f6eb,airplane departure,"['aeroplane taking off', 'plane taking off']","[':airplane_departure:\n(Slack, Emojipedia)\n', ':flight_departure:\n(Github)\n']","a plane taking off from a runway. generally displayed left-right, with the front of the plane elevated.

airplane departure was approved as part of unicode 7.0 in 2014
and added to emoji 1.0 in 2015.
","a plane taking off from a runway. generally displayed left-right, with the front of the plane elevated.","airplane departure was approved as part of unicode 7.0 in 2014
and added to emoji 1.0 in 2015.",the airplane departure emoji was added to the travel & places category in 2014 as part of unicode 7.0 standard. this is a mature emoji and it should work on most devices.,,[],0.47056216,-0.15216899,0.09972695,0.031155927,3,6,48.31705093383789,-7.04458475112915,5
12,False,⏰,alarm_clock,\u23f0,\u23f0,alarm clock,"['alarm', 'clock']","[':alarm_clock:\n(Github, Slack, Emojipedia)\n']","a timepiece set in advance to startle a person awake at the designated time with its two bells. that is, before hitting snooze. appearance varies across platforms, but depicted as a classic, wind-up, bedside alarm clock, often red in color.
may be used for various content concerning alarms, alerts, sleeping, waking, and time more generally.

alarm clock was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.
","a timepiece set in advance to startle a person awake at the designated time with its two bells. that is, before hitting snooze. appearance varies across platforms, but depicted as a classic, wind-up, bedside alarm clock, often red in color.
may be used for various content concerning alarms, alerts, sleeping, waking, and time more generally.","alarm clock was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.","this emoji shows a red, classic buzzer alarm clock. it means morning, am, waking up, urgency, surprise, and deadlines. alarm clock emoji could be used in discussing a time the texter has to meet someone in the am, and to set an alarm.
the alarm clock emoji appeared in 2010, and also known as the watch clock emoji.","may be used for various content concerning alarms, alerts, sleeping, waking, and time more generally.",[],0.37531203,-0.4974527,-0.24913442,-0.022411572,2,5,6.32542610168457,-42.306175231933594,0
13,False,⚗️,alembic,\u2697\ufe0f,\u2697,alembic,[],"[':alembic:\n(Github, Slack, Emojipedia)\n']","an apparatus for distilling, as used in medieval alchemy. generally depicted as a round flask with a neck angled down to the right. positioned on a short stand and containing a mysterious green, purple, or blue liquid.
commonly used for various content concerning chemistry and science more generally. may represent various liquids, such as potions or medicines, as well as metaphorical laboratories and experiments.
thanks to the alembic’s association with alchemy, this emoji may also convey a sense of magic. and, thanks to its resemblance to a glass pipe, some use the emoji to represent a bong or other drug paraphernalia.
samsung’s design previously featured a copper still, as used for making whiskey.

alembic was approved as part of unicode 4.1 in 2005
and added to emoji 1.0 in 2015.
","an apparatus for distilling, as used in medieval alchemy. generally depicted as a round flask with a neck angled down to the right. positioned on a short stand and containing a mysterious green, purple, or blue liquid.
commonly used for various content concerning chemistry and science more generally. may represent various liquids, such as potions or medicines, as well as metaphorical laboratories and experiments.
thanks to the alembic’s association with alchemy, this emoji may also convey a sense of magic. and, thanks to its resemblance to a glass pipe, some use the emoji to represent a bong or other drug paraphernalia.
samsung’s design previously featured a copper still, as used for making whiskey.","alembic was approved as part of unicode 4.1 in 2005
and added to emoji 1.0 in 2015.",the alembic emoji was added to the objects category in 2005 as part of unicode 4.1 standard. this is a mature emoji and it should work on most devices.,"an apparatus for distilling, as used in medieval alchemy. generally depicted as a round flask with a neck angled down to the right. positioned on a short stand and containing a mysterious green, purple, or blue liquid.
commonly used for various content concerning chemistry and science more generally. may represent various liquids, such as potions or medicines, as well as metaphorical laboratories and experiments.
samsung’s design previously featured a copper still, as used for making whiskey.",[],0.29567763,-0.6036643,-0.55240226,-0.3190586,2,5,6.261383056640625,-49.198974609375,0
14,False,👽,alien,\U0001f47d,\U0001f47d,alien,"['alien', 'et']","[':alien:\n(Github, Slack, Emojipedia)\n']","a classic alien face. the oval, bare head of a gray or green alien with large black eyes and a slight, friendly smile. samsung depicts nostrils, facebook a nose.
may represent extraterrestrial life or topics concerning outer space, but commonly conveys a playful sense of weirdness or strangeness, as if someone or something is out there or from another planet.
available as an apple animoji.
apple previously displayed a similar looking alien head in a box as a placeholder for an unknown emoji, but now shows a boxed question mark.

alien was approved as part of unicode 6.0 in 2010
under the name “extraterrestrial alien”
and added to emoji 1.0 in 2015.
","a classic alien face. the oval, bare head of a gray or green alien with large black eyes and a slight, friendly smile. samsung depicts nostrils, facebook a nose.
may represent extraterrestrial life or topics concerning outer space, but commonly conveys a playful sense of weirdness or strangeness, as if someone or something is out there or from another planet.
available as an apple animoji.
apple previously displayed a similar looking alien head in a box as a placeholder for an unknown emoji, but now shows a boxed question mark.","alien was approved as part of unicode 6.0 in 2010
under the name “extraterrestrial alien”
and added to emoji 1.0 in 2015.","the extraterrestrial alien face is usually utilized to express something out of the ordinary. this emoji can express ""you're such a strange person!"" or it might refer to a peculiar occurrence or incident. certain people also use alien emoji to when they are trying to say something is so original, so special that it's cool.
the alien emoji appeared in 2010, and also known as the alien face emoji. sometimes it is mentioned as the alien symbol.",,[],-0.55858475,0.035059366,-0.23435101,0.09475552,7,2,-5.81876277923584,55.497581481933594,1
15,False,👾,alien_monster,\U0001f47e,\U0001f47e,alien monster,"['space invader', 'video game monster']","[':space_invader:\n(Github, Slack)\n', ':alien_monster:\n(Emojipedia)\n']","a friendly-looking, tentacled space creature with two eyes. most major platforms style their design after aliens in classic arcade games like space invaders, rendering it purple and pixellated, as if in 8-bit graphics.
samsung’s design resembles an octopus and previously featured a big-brained alien, à la star trek. earlier designs from google and microsoft depicted more cartoon-like alien monsters.
may be used of topics concerning extraterrestrial life, outer space, gaming, and computing, but also enjoys a range of idiosyncratic applications, such as conveying a sense of weirdness, wackiness, or excitement, given that the emoji looks like it is raising its arms shouting yay! on many platforms.

alien monster was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.
","a friendly-looking, tentacled space creature with two eyes. most major platforms style their design after aliens in classic arcade games like space invaders, rendering it purple and pixellated, as if in 8-bit graphics.
samsung’s design resembles an octopus and previously featured a big-brained alien, à la star trek. earlier designs from google and microsoft depicted more cartoon-like alien monsters.
may be used of topics concerning extraterrestrial life, outer space, gaming, and computing, but also enjoys a range of idiosyncratic applications, such as conveying a sense of weirdness, wackiness, or excitement, given that the emoji looks like it is raising its arms shouting yay! on many platforms.","alien monster was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.","it shows a purple, pixelated alien with two eyes and no mouth. this emoji means strange things or references retro video games. alien monster emoji could be used to make someone laugh, or to emphasize the tester is playing video games.
the alien monster emoji appeared in 2010, and also known as the space invader emoji.","may be used of topics concerning extraterrestrial life, outer space, gaming, and computing, but also enjoys a range of idiosyncratic applications, such as conveying a sense of weirdness, wackiness, or excitement, given that the emoji looks like it is raising its arms shouting yay! on many platforms.",[],-0.4119431,-0.14997114,-0.23413776,0.09434396,7,2,-6.264865398406982,55.311920166015625,1
16,False,🚑,ambulance,\U0001f691,\U0001f691,ambulance,[],"[':ambulance:\n(Github, Slack, Emojipedia)\n']","an ambulance, used to transport patients between their home and the hospital.

ambulance was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.
","an ambulance, used to transport patients between their home and the hospital.","ambulance was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.",the ambulance emoji was added to the travel & places category in 2010 as part of unicode 6.0 standard. this is a mature emoji and it should work on most devices.,,[],-0.1571819,-0.007368738,-0.07708463,-0.10163051,7,6,-4.063421726226807,13.296085357666016,5
17,False,🏈,american_football,\U0001f3c8,\U0001f3c8,american football,"['football', 'gridiron', 'superbowl']","[':football:\n(Github, Slack)\n', ':american_football:\n(Emojipedia)\n']","the oval ball used in the game of american football, known as gridiron in some countries.

american football was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.
","the oval ball used in the game of american football, known as gridiron in some countries.","american football was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.","similar to the soccer ball, the image of a ball used in american football is the emoji symbol generally used to describe this sport. it can refer to the ball itself, a football game or even a football player, depending on the context. american football emoji can be used to say “i love watching american football matches!”.","the oval ball used in the game of american football, known as gridiron in some countries.",[],-0.28121403,0.9030768,0.16641426,-0.8836781,7,6,4.609282493591309,-18.29560661315918,5
18,False,🏺,amphora,\U0001f3fa,\U0001f3fa,amphora,"['jar', 'vase']","[':amphora:\n(Github, Slack, Emojipedia)\n']","a tall, ceramic jar with two handles and a narrow neck and foot. represents an amphora, as used by ancient greeks and romans to hold water and wine.
generally depicted as brownish-red earthenware ornamented with black and a greek meander pattern.
may represent containers like vases, pottery, museums, history, and antiquity. may also be used in relation to the zodiac sign of aquarius, the water-bearer.
not to be confused with ⚱️ funeral urn.

amphora was approved as part of unicode 8.0 in 2015
and added to emoji 1.0 in 2015.
","a tall, ceramic jar with two handles and a narrow neck and foot. represents an amphora, as used by ancient greeks and romans to hold water and wine.
generally depicted as brownish-red earthenware ornamented with black and a greek meander pattern.
may represent containers like vases, pottery, museums, history, and antiquity. may also be used in relation to the zodiac sign of aquarius, the water-bearer.
not to be confused with ⚱️ funeral urn.","amphora was approved as part of unicode 8.0 in 2015
and added to emoji 1.0 in 2015.","the image of a ceramic, vase-like object, often displayed with intricate designs on it is the emoji that represents an amphora. it can also be used in relation to the zodiac symbol aquarius. amphora emoji can mean ""my grandparents bought an expensive amphora from an antique shop."" or ""he is an aquarius!"".","may represent containers like vases, pottery, museums, history, and antiquity. may also be used in relation to the zodiac sign of aquarius, the water-bearer.
not to be confused with ⚱️ funeral urn.",['⚱️'],0.087338716,-0.6447335,-0.17592493,0.34980932,2,0,5.637994766235352,-20.31962013244629,5
19,False,🫀,anatomical_heart,\U0001fac0,\U0001fac0,anatomical heart,[],[':anatomical_heart:\n(Emojipedia)\n'],"a red anatomical heart, shown with blue or purple veins on some platforms.
sometimes used interchangeably with ❤️ red heart.

anatomical heart was approved as part of unicode 13.0 in 2020
and added to emoji 13.0 in 2020.

🚩 new in 2020: requires ios 14.2, android 11, samsung one ui 2.5 or above.","a red anatomical heart, shown with blue or purple veins on some platforms.
sometimes used interchangeably with ❤️ red heart.","anatomical heart was approved as part of unicode 13.0 in 2020
and added to emoji 13.0 in 2020.
🚩 new in 2020: requires ios 14.2, android 11, samsung one ui 2.5 or above.",,sometimes used interchangeably with ❤️ red heart.,"['❤️', '🚩']",-0.10150433,-0.4233368,-0.23436633,0.39054155,2,1,26.134647369384766,2.6860201358795166,5
20,False,⚓,anchor,\u2693,\u2693,anchor,"['admiralty pattern anchor', 'fisherman']","[':anchor:\n(Github, Slack, Emojipedia)\n']","a metal device, dropped out of a boat to prevent it drifting away from the current location.
an anchor also refers to a place on a webpage that may be directly linked to, rather than simply loading a page and requiring a user to scroll to the correct location.

anchor was approved as part of unicode 4.1 in 2005
and added to emoji 1.0 in 2015.
","a metal device, dropped out of a boat to prevent it drifting away from the current location.
an anchor also refers to a place on a webpage that may be directly linked to, rather than simply loading a page and requiring a user to scroll to the correct location.","anchor was approved as part of unicode 4.1 in 2005
and added to emoji 1.0 in 2015.","this emoji is a navigational symbol for a marina, harbor, or shipyard. a stereotypical tattoo found on sailors - the cartoon character popeye the sailor man had one on his upper arm. anchor emoji can be used to express that someone is dedicated or anchored in relation to something (eg. college, a relationship, gaming).",,[],0.1951251,0.0001196,0.4008119,0.23905258,3,5,5.99131441116333,-48.325157165527344,0
21,False,💢,anger_symbol,\U0001f4a2,\U0001f4a2,anger symbol,"['anger sign', 'vein pop']","[':anger:\n(Github, Slack)\n', ':anger_symbol:\n(Emojipedia)\n']","a red symbol found in anime/manga and used to represent the veins popping on a very angry person.
also used in other comic books to indicate a punch landed, perhaps next to the words “bam” or “pow”.

anger symbol was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.
","a red symbol found in anime/manga and used to represent the veins popping on a very angry person.
also used in other comic books to indicate a punch landed, perhaps next to the words “bam” or “pow”.","anger symbol was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.","this symbol shows four red lines curving inward like an inverted box. the lines are not connected. this emoji means anger, being upset, frustration, being annoyed, and general implication of “blowing up” over something. anger symbol would be used if the person is upset with something just said, upset with something that just happened to them, or to emphasize their anger with a general situation.
the anger symbol appeared in 2010, and also known as the pow symbol. sometimes it is mentioned as the anime symbol.","also used in other comic books to indicate a punch landed, perhaps next to the words “bam” or “pow”.",[],0.39884374,-0.6642094,-0.18349299,-0.11087473,2,1,8.734405517578125,44.38844299316406,5
22,False,😠,angry_face,\U0001f620,\U0001f620,angry face,"['angry', 'grumpy face']","[':angry:\n(Github, Slack)\n', ':angry_face:\n(Emojipedia)\n']","a yellow face with a frowning mouth and eyes and eyebrows scrunched downward in anger.
conveys varying degrees of anger, from grumpiness and irritation to disgust and outrage. may also represent someone acting tough or being mean.
samsung’s design previously featured a reddish face with clenched teeth and wrinkled chin. google’s design also previously featured a reddish face, while facebook’s and microsoft's earlier designs had clenched teeth.

angry face was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.
","a yellow face with a frowning mouth and eyes and eyebrows scrunched downward in anger.
conveys varying degrees of anger, from grumpiness and irritation to disgust and outrage. may also represent someone acting tough or being mean.
samsung’s design previously featured a reddish face with clenched teeth and wrinkled chin. google’s design also previously featured a reddish face, while facebook’s and microsoft's earlier designs had clenched teeth.","angry face was approved as part of unicode 6.0 in 2010
and added to emoji 1.0 in 2015.","the image of a face with furrowed eyebrows and with its mouth curling downward is the emoji representing anger, upset or disapproval. it is typically used to emphasize that someone is upset or furious. angry face emoji can mean “i am so upset right now!” or “this angers me so much! i hate it!”.
the angry face emoji appeared in 2010, and also known as the mad face. sometimes it is mentioned as the mad emoji.",,[],-0.047418565,-1.1315852,-0.9485773,-0.059888206,6,2,32.1175651550293,23.87473487854004,1
23,False,👿,angry_face_with_horns,\U0001f47f,\U0001f47f,angry face with horns,"['devil', 'devil horns', 'purple devil', 'purple goblin', 'sad devil']","[':imp:\n(Github, Slack)\n', ':angry_face_with_horns:\n(Emojipedia)\n']","a face, usually purple, with two devil horns, frowning mouth and eyes, and eyebrows scrunched downwards in anger. bears the same expression as 😠 angry face and 😡 pouting face on most platforms. google’s design is red and facebook’s has black horns, green eyes, and clenched teeth.
its unicode name, imp, alludes to a small demon in folklore, though the smiley is commonly used to represent devils and devilish behavior, especially around halloween. it is also used to convey various sentiments of anger or ideas of evil. more menacing than its counterpart, 😈 smiling face with horns.
samsung previously depicted a childlike character with red hair and horns, fangs, and black wings. earlier designs from google featured an orangish-red character with blue hair and wings.

angry face with horns was approved as part of unicode 6.0 in 2010
under the name “imp”
and added to emoji 1.0 in 2015.
","a face, usually purple, with two devil horns, frowning mouth and eyes, and eyebrows scrunched downwards in anger. bears the same expression as 😠 angry face and 😡 pouting face on most platforms. google’s design is red and facebook’s has black horns, green eyes, and clenched teeth.
its unicode name, imp, alludes to a small demon in folklore, though the smiley is commonly used to represent devils and devilish behavior, especially around halloween. it is also used to convey various sentiments of anger or ideas of evil. more menacing than its counterpart, 😈 smiling face with horns.
samsung previously depicted a childlike character with red hair and horns, fangs, and black wings. earlier designs from google featured an orangish-red character with blue hair and wings.","angry face with horns was approved as part of unicode 6.0 in 2010
under the name “imp”
and added to emoji 1.0 in 2015.","it shows a purple, scowling face with horns. this emoji suggests extreme anger, more so than a normal angry face. it could also imply evil or halloween. imp emoji could be used to show someone his or her anger, or extreme disapproval.
the angry face with horns emoji appeared in 2010, and now is mainly known as the imp emoji, but also may be reffered as the smiling devil emoji. sometimes it is mentioned as the demon emoji.",,"['😠', '😈', '😡']",0.120079726,-1.1909016,-0.5817958,0.03244099,6,2,-5.742851734161377,55.454830169677734,1
24,False,😧,anguished_face,\U0001f627,\U0001f627,anguished face,['pained face'],"[':anguished:\n(Github, Slack)\n', ':anguished_face:\n(Emojipedia)\n']","a yellow face with small, open eyes, open frown, and raised eyebrows. samsung’s design shows upper teeth and tongue. meaning widely varies, but may convey alarm, confusion, or sadness, as if gasping in shock or concern.
bears the same eyes and mouth as 😦 frowning face with open mouth on most platforms, but its eyebrows give it a more surprised expression.

anguished face was approved as part of unicode 6.1 in 2012
and added to emoji 1.0 in 2015.
","a yellow face with small, open eyes, open frown, and raised eyebrows. samsung’s design shows upper teeth and tongue. meaning widely varies, but may convey alarm, confusion, or sadness, as if gasping in shock or concern.
bears the same eyes and mouth as 😦 frowning face with open mouth on most platforms, but its eyebrows give it a more surprised expression.","anguished face was approved as part of unicode 6.1 in 2012
and added to emoji 1.0 in 2015.","the image of a face with raised eyebrows, open eyes and open mouth hanging downwards is the emoji symbol for anguish. the image generally tries to express a mixture of shock and disappointment. anguished face emoji can mean ""i was so sad to hear that he died so young!"" or ""i can't keep up with work anymore! it's so hard it's killing me!"".",,['😦'],-0.012525589,-0.72670144,-0.6374329,0.35111475,2,2,31.767948150634766,22.419050216674805,1
